Review,Date
"Заказал карту Тинькофф мобайл. Приехал курьер, выдал карту, все ок. Потом пошли перекрестные продажи, спрашивает меня курьер - есть кредиты в сторонних банках? говорю да, курьер - давайте посчитаем, может выгоднее будет у нас рефинанс сделать, я говорю нет, так как кредит оформлялся до повышения ключевой ставки, но курьер все равно поедложил ознакомиться и проверить, может в итоге будет дешевле и если будет не интересно, то ничего не оформляйте и все будет ок. Кончено там ставка была высокая и невыгодные условия, ничего не стал оформлять.  Захожу домой и опа, пришло сообщение на почту "" вы оформили кредит"", полная стоимость кредита....,  ежемесячный платеж с графиком платеже и ближайший платеж уже в мае, присвоен номер кредитного договора. Это пятница вечер после работы, у меня чуть инфаркт не шлёпнул, потерял несколько часов в чате , вместо того чтобы побыть с семьёй, да, для меня это крайнн серьезно, я очень серьезно отношусь к кредитам!!! Пишу в чат, мне отвечают что это не кредит, это заявка. Что за бред? Загуглите в Вики что такое кредит и что такое заявка. + В личном кабинете отобраюается как оформленный кредит, а не заявка !!!Говорю этот кредит отрбрается в нбки, мне сообщают да . Прошу пояснить что такое одобренная заявка и что такое ""вы оформили кредит"" которые прошло мне на почту ? Тут есть разница? В итоге ещё нбки светится с кредитом. Зачем пугаете клиентов, доводить их, считаете тупым стадом и нелбдями. Прошу срочно принять меры, дать ответы, также будет обращение в ЦБ. На каком основании клиенту приходят такие письма что оформлены продукты банка, когда они не были оформлены ,на каком основании портится кредитная история клиента. Мошенники! Операторы имеют крайне слабую экспертизу, вводят в заблуждение клиента. Не могут ответит ни на один вопрос.",2024-03-29 22:37:00
"Единственный банк, который дает Чарджбек без геморроя, за что хочу дать высокую оценку.    Из последних примеров, сбермаркет и сбермегамаркет грешат тем что не добросовестно выполняют свою работу, не докладывают товар, либо привозят  хрен  пойми что, и оспорить постфактум практически невозможно, ссылаются на свои правила и требуют проверять то что привозит курьер, а когда того спрашиваешь курьера, что чего то не хватает, тот говорит пишите в поддержку я просто курьер, а поддержке, похер, она тебя шлет куда подальше, потому что ты курьеру не сказал что чего то не хватает, замкнутый круг...  Тинькофф же в течении недели рассматривает обращение и сам все возвращает.   И еще тут недавно сбермаркет умудрился списать с карты привязанной Тинькофф 30к, без понятия как, и так же НОЛЬ помощи с их стороны, говорят иди в полицию, мы тебе здесь не поможем заказ сделан с твоего аккаунта и доставлен, ВСЕ! сам виноват.   Что делает Тинькофф? Рассматривает месяц обращение и все возвращает. Лучший просто! Спасибо!  К слову, 25 тыс. вернул в первые дни обращения, даже месяца не пришлось ждать, 5 тыс. там болтались месяц, но в итоге тоже вернули, а обращение в сбермаркете все еще висит на «рассмотрении», пару месяцев уже. ",2024-03-29 22:24:11
"Был задан один единственный вопрос по жалобе, по которой вопрос не решен до сих пор .банк меня проигнорировал и предоставил ответ совсем не то о чем я спрашивал ... Поступило письмо от банка на мою почту о сотрудничестве, так как я самозанятый. В этой сфере из письма я не работаю давно, так как ушел из организации, но кто то мои персональный данные знает и передал без моего согласия в банк, налицо нарушение закона 152-Фз о защите персональных данных. Банк сотрудничает с мошенниками и компанией, которая нарушила закон. Почему вы покрываете нарушителей закона а??? ",2024-03-29 22:21:01
"Хочу похвалить банк Тиньков и его операторов поддержки , всегда во всем помогут , просто самый наилучший банк которым я когда либо пользовалась , а пользовалась я до Тиньков банка , очень многими банками , и Сбер , и синара, газпромбанк , вообщем многими банками пользовалась, и остановилась на Тиньков банке , т.к там всегда радушные и отзывчивые сотрудники , всегда спешат вам на помощь , и помогут найти хороший компромисс в любой ситуации, после Тиньков банка , заблокировала карты всех банка и пользуюсь только им , на другой уже не когда не перейду, вообщем , САМЫЙ ЛУЧШИЙ БАНК , вы просто лучшие во всем мире , замен вам нету , спасибо большое за хорошую работу ",2024-03-29 21:46:16
"пришло СМС на номер телефона с данным текстом: Мы не можем разблокировать ваши карты на основании п. 4.5 и п. 4.9 УКБО. Если решите закрыть счет, отправьте нам распоряжение о закрытии счета в чате или на почту  не предоставили образец заявления на закрытие счета не предоставили почту куда отсылать где искать образец??? на чье имя писать и тд",2024-03-29 21:43:51
Вернули деньги с яндекс.плюса Пришлось поменять кредитную карту Сбербанке с такой же проблемой меня отослали куда подальше оператор Тинькофф сразу понял мою проблему и предложил варианты решение этого вопроса кредитную карту Я не привязывал к сервису яндекс.плюс эта карта была привязана к яндекс.маркету видимо оттуда данные перешли автоматически,2024-03-29 21:31:22
"Сотрудник 82130 за 10 минут ответил на мои вопросы, я никак не мог разобраться с особенностями тарифа по кредитной карте Понравилась его компетентность и легкость в решении моего запроса Причиной тому является ощущение клиентоориентированности, умение слышать клиента и не злоупотреблять скриптами банка Благодарю его за щедрость ",2024-03-29 21:27:30
"У ребенка неожиданно начали списывать деньги с карты. Служба поддержки сработала мониеносно. Вовремя заблокировали карту, чтобы не было списаний. А также в течении суток вернули средства, незаконно списанные с карты. Оспорили неправомерные операции. Очень довольная обслуживанием. Всегда приходят на помощь, без задержек.",2024-03-29 20:56:48
"После просмотра информации об условиях кредита, в мобильном приложении появилась заявка на одобренный кредит на 2М рублей. Согласие на него я не давал. Убрать заявку поддержка отказыается, прелагают ждать звонка сотрудника.  Так вот - вы сделали заявку без моего одобрения, так что прошу и убрать её аналогично! Ждать звонка  и тратить своё время, отвечая  на него -  не собираюсь.   ",2024-03-29 19:20:10
"Обратился через интернет по телефону в банк сотрудница Дарья помогла нам при переводе денег в Узбекистан подсказала досканально что и как перевести деньги как конвертации происходят спасибо всё ок отправили без ℅быстро молодцы спасибо 27,03 2024 года 14,49, минут, далее специалист Дектярь Геннадий помог решить проблему всё карты заблокировали и перевыпустили другие быстро и как всегда молодцы на всё 100℅ нет на 1000℅ спасибо Баку ща таких сотрудников спасибо",2024-03-29 19:10:40
"Банк тинькофф не выходит на связь и бросает трубки, не отвечает в чате  Сотрудница тинькофф банка Виктория 29.03.2024 в 17:58 начала решать вопрос , который не решил предыдущий оператор Дмитрий  В 18:00 сотрудница тинькофф банка Виктория позвонила , в ходе диалога сказала что переведет на другого сотрудника и положила труюку  В 18:07 После этого в чате сотрудница тинькофф банка Виктория – перестала отвечать  На момент 18:30 сотрудница тинькофф банка Виктория – так и не перезвонила  Как будете компенсирвать вашу неудовлетворительную работу? ",2024-03-29 18:32:37
Подключили услугу без моего ведома и списали денежные средства Тинькффф банк списал личные денежные средства клиента и подключил без ведома и без согласия клиента платную услугу  На вопрос зачем подключили? Почему без согласия клиента подключили ? – банк отвечать отказался  Жду возврат денежных средств и обоснование как вы без согласия клиента распоряжаетесь его денежными средствами  ,2024-03-29 18:24:48
"Банк Тинькофф вводит в заблуждение и врёт об операциях с денежными средствами. Были списания денежных средств с моего счета в Тинькофф банке, по ряду операций был задан вопрос в банк.  08.02.2024 сотрудник банка сообщил информацию о том, что банк не нашел оплаченный счет на сумму 5020,70  Приложив скриншот задали повторный вопрос в банк – Тинькофф банк так и не предоставил ответ.  Жду ответ от банка  1. Почему вы наврали о том, что нет счета на сумму 5020,70 2. Почему не даете ответ на этот вопрос более полутора месяца? 3. Как будете компенсировать вашу неудовлетворительную работу? ",2024-03-29 18:20:08
"27.03.2024 Позвонил сотрудник Тинькофф банка Данис, звонил без необходимости от клиента. Наврал клиенту, сказав что требовали перезвонить, хотя уже вопрос был решен. Затем начал говорить про блокировку, что заблокирует счёт.    Жду информацию 1. почему сотрудник банка звонит тогда, когда это не нужно и не проверяет информацию прежде чем позвонить? 2. Зачем при звонке говорит о блокировке счета?  ",2024-03-29 18:19:11
